No,Name,Type,Team,Credit
1,N Counter,BOWL,1,8
2,I Kishan,WK,1,8.5
3,J Neesham,ALL,1,8.5
4,J Bumrah,BOWL,1,9.5
5,C Sakariya,BOWL,2,8.5
6,R Sharma,BAT,1,10
7,E lewis,BAT,2,9.5
8,M Rahman,BOWL,2,9
9,Y Jaiswal,BAT,2,9
10,S yadav,BAT,1,9
11,D Miller,BAT,2,8.5
12,R Tewatia,ALL,2,8.5
13,J Yadav,BOWL,1,8
14,K Pollard,ALL,1,9
15,H Pandya,BAT,1,8.5
16,S Dube,ALL,2,8.5
17,S Samson,WK,2,10
18,T Boult,BOWL,1,9
19,S Tiwary,BAT,1,8
20,S Goapal,BOWL,2,8.5
21,K Yadav,BOWL,2,7.5
22,G Philips,BAT,2,8.5
